player,games_played,min,pts,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,turnover,stl,blk,pf,era
Lebron James,72.0909090909091,2220.090909090909,26.779999999999994,9.876363636363637,18.828181818181818,0.5251818181818182,1.5645454545454547,4.4372727272727275,0.35363636363636364,5.465454545454546,5.465454545454546,0.7276363636363636,1.1327272727272728,6.5609090909090915,7.695454545454546,7.807272727272727,3.632727272727273,1.4909090909090912,0.6936363636363635,1.731818181818182,10s
Kevin Durant,69.5,2195.0,27.705999999999996,9.393,18.697,0.5035999999999999,2.0669999999999997,5.362,0.3846,6.849000000000001,6.849000000000001,0.8819000000000001,0.6639999999999999,6.733,7.392000000000001,4.433000000000001,3.1189999999999998,1.092,1.1729999999999998,1.9289999999999998,10s
Stephen Curry,63.54545454545455,1999.0,22.84,7.857272727272726,16.67636363636364,0.47109090909090906,3.4127272727272726,8.203636363636363,0.42036363636363644,3.713636363636364,3.713636363636364,0.9062727272727272,0.7018181818181819,3.8481818181818186,4.54909090909091,6.495454545454546,3.08,1.6372727272727277,0.24545454545454543,2.4454545454545453,10s
Kawhi Leonard,58.333333333333336,1811.111111111111,18.354444444444443,6.597777777777777,13.504444444444443,0.4903333333333333,1.427777777777778,3.8055555555555554,0.3737777777777778,3.7322222222222217,3.7322222222222217,0.8346666666666667,1.1666666666666667,5.065555555555556,6.231111111111111,2.644444444444444,1.6,1.7966666666666669,0.6844444444444444,1.6566666666666665,10s
James Harden,75.72727272727273,2057.181818181818,25.14181818181818,7.3999999999999995,16.673636363636362,0.4434545454545455,2.7963636363636364,7.688181818181818,0.3653636363636364,7.542727272727273,7.542727272727273,0.8537272727272728,0.7763636363636363,4.534545454545454,5.3118181818181816,6.273636363636363,3.6709090909090913,1.5718181818181818,0.5281818181818182,2.645454545454545,10s
Russell Westbrook,72.36363636363636,2081.0,24.122727272727275,8.573636363636364,19.446363636363635,0.4405454545454546,1.1909090909090907,3.910909090909091,0.29927272727272725,5.78090909090909,5.78090909090909,0.7928181818181819,1.61,5.643636363636364,7.254545454545456,8.479090909090909,4.148181818181818,1.7990909090909086,0.3118181818181818,2.6136363636363638,10s
Chris Paul,65.45454545454545,2035.1818181818182,18.08909090909091,6.330909090909091,13.443636363636363,0.4702727272727273,1.5781818181818181,4.185454545454545,0.377,3.8536363636363635,3.8536363636363635,0.8820000000000001,0.5854545454545454,3.844545454545454,4.429090909090909,9.28,2.3490909090909096,2.090909090909091,0.15545454545454543,2.410909090909091,10s
Dwyane Wade,66.0,1891.7,19.965999999999998,7.552999999999999,15.773,0.47709999999999997,0.5489999999999998,1.8510000000000002,0.27840000000000004,4.3149999999999995,4.3149999999999995,0.7545000000000002,1.1670000000000003,3.368,4.534,4.627,2.762,1.3699999999999999,0.7660000000000001,1.9789999999999999,10s
Paul George,65.3,1874.7,18.574,6.287,14.597999999999999,0.42889999999999995,2.3229999999999995,6.059,0.37799999999999995,3.6730000000000005,3.6730000000000005,0.8257,0.8549999999999999,5.167,6.0200000000000005,3.079,2.475,1.6280000000000001,0.417,2.577,10s
Tim Duncan,70.42857142857143,1724.142857142857,14.588571428571429,5.854285714285714,11.684285714285716,0.5002857142857142,0.012857142857142857,0.07857142857142858,0.10771428571428572,2.8628571428571434,2.8628571428571434,0.7322857142857142,2.141428571428572,7.024285714285713,9.162857142857144,2.7714285714285714,1.7899999999999998,0.6842857142857144,1.8157142857142856,1.8442857142857143,10s
